Time (s),Latency (in ms)
2024-01-21 00:00:00,16.9
2024-01-21 00:00:01,20.4
2024-01-21 00:00:02,24.8
2024-01-21 00:00:03,21.2
2024-01-21 00:00:04,19.0
2024-01-21 00:00:05,17.4
2024-01-21 00:00:06,21.6
2024-01-21 00:00:07,15.0
2024-01-21 00:00:08,16.4
2024-01-21 00:00:09,13.6
2024-01-21 00:00:11,15.3
2024-01-21 00:00:12,19.9
2024-01-21 00:00:13,27.7
2024-01-21 00:00:14,16.6
2024-01-21 00:00:15,26.4
2024-01-21 00:00:16,22.8
2024-01-21 00:00:17,19.3
2024-01-21 00:00:18,16.9
2024-01-21 00:00:19,21.5
2024-01-21 00:00:20,17.6
2024-01-21 00:00:21,17.3
2024-01-21 00:00:22,17.9
2024-01-21 00:00:23,17.4
2024-01-21 00:00:24,16.4
2024-01-21 00:00:25,16.0
2024-01-21 00:00:26,17.4
2024-01-21 00:00:27,17.4
2024-01-21 00:00:28,17.5
2024-01-21 00:00:29,15.2
2024-01-21 00:00:30,17.4
2024-01-21 00:00:31,19.5
2024-01-21 00:00:32,16.8
2024-01-21 00:00:33,20.2
2024-01-21 00:00:34,13.2
2024-01-21 00:00:35,18.1
2024-01-21 00:00:36,11.6
2024-01-21 00:00:37,16.9
2024-01-21 00:00:38,18.3
2024-01-21 00:00:39,16.4
2024-01-21 00:00:40,14.3
2024-01-21 00:00:41,13.1
2024-01-21 00:00:42,18.6
2024-01-21 00:00:43,17.4
2024-01-21 00:00:44,19.6
2024-01-21 00:00:45,21.7
2024-01-21 00:00:46,24.0
2024-01-21 00:00:47,18.6
2024-01-21 00:00:48,18.1
2024-01-21 00:00:49,16.9
2024-01-21 00:00:50,12.5
2024-01-21 00:00:51,20.6
2024-01-21 00:00:52,24.5
2024-01-21 00:00:53,15.3
2024-01-21 00:00:55,16.2
2024-01-21 00:00:56,16.7
2024-01-21 00:00:57,18.2
2024-01-21 00:00:58,17.4
2024-01-21 00:00:59,23.0
2024-01-21 00:01:00,19.3
2024-01-21 00:01:01,19.0
2024-01-21 00:01:02,29.1
2024-01-21 00:01:03,19.9
2024-01-21 00:01:04,28.5
2024-01-21 00:01:05,24.9
2024-01-21 00:01:06,18.6
2024-01-21 00:01:07,24.3
2024-01-21 00:01:08,22.7
2024-01-21 00:01:09,26.3
2024-01-21 00:01:10,22.2
2024-01-21 00:01:11,13.3
2024-01-21 00:01:12,22.2
2024-01-21 00:01:13,16.4
2024-01-21 00:01:14,17.3
2024-01-21 00:01:15,18.5
2024-01-21 00:01:16,19.5
2024-01-21 00:01:17,14.2
2024-01-21 00:01:18,19.7
2024-01-21 00:01:19,14.9
2024-01-21 00:01:20,20.8
2024-01-21 00:01:21,13.9
2024-01-21 00:01:22,13.9
2024-01-21 00:01:23,21.5
2024-01-21 00:01:24,12.6
2024-01-21 00:01:25,13.9
2024-01-21 00:01:26,21.3
2024-01-21 00:01:27,13.5
2024-01-21 00:01:28,22.0
2024-01-21 00:01:29,14.6
2024-01-21 00:01:30,31.1
2024-01-21 00:01:31,19.5
2024-01-21 00:01:32,13.8
2024-01-21 00:01:33,12.3
2024-01-21 00:01:34,13.9
2024-01-21 00:01:35,13.0
2024-01-21 00:01:36,12.1
2024-01-21 00:01:37,15.8
2024-01-21 00:01:39,18.6
2024-01-21 00:01:40,14.7
2024-01-21 00:01:41,13.1
2024-01-21 00:01:42,16.3
2024-01-21 00:01:43,20.5
2024-01-21 00:01:44,20.9
2024-01-21 00:01:45,12.8
2024-01-21 00:01:46,12.3
2024-01-21 00:01:47,18.4
2024-01-21 00:01:48,16.7
2024-01-21 00:01:49,15.1
2024-01-21 00:01:50,13.4
2024-01-21 00:01:51,15.3
2024-01-21 00:01:52,13.8
2024-01-21 00:01:53,17.2
2024-01-21 00:01:54,19.4
2024-01-21 00:01:55,23.5
2024-01-21 00:01:56,13.8
2024-01-21 00:01:57,17.8
2024-01-21 00:01:58,13.2
2024-01-21 00:01:59,28.3
2024-01-21 00:02:00,14.2
2024-01-21 00:02:01,24.6
2024-01-21 00:02:02,13.5
2024-01-21 00:02:03,13.1
2024-01-21 00:02:04,14.0
2024-01-21 00:02:05,12.9
2024-01-21 00:02:06,13.9
2024-01-21 00:02:07,13.4
2024-01-21 00:02:08,16.5
2024-01-21 00:02:09,12.3
2024-01-21 00:02:10,18.0
2024-01-21 00:02:11,14.8
2024-01-21 00:02:12,30.7
2024-01-21 00:02:13,20.3
2024-01-21 00:02:14,17.4
2024-01-21 00:02:15,18.7
2024-01-21 00:02:16,22.5
2024-01-21 00:02:17,13.1
2024-01-21 00:02:18,30.9
2024-01-21 00:02:19,21.2
2024-01-21 00:02:20,15.6
2024-01-21 00:02:21,20.3
2024-01-21 00:02:22,14.5
2024-01-21 00:02:23,22.8
2024-01-21 00:02:24,13.2
2024-01-21 00:02:26,15.1
2024-01-21 00:02:27,15.7
2024-01-21 00:02:28,18.4
2024-01-21 00:02:29,22.1
2024-01-21 00:02:30,26.8
2024-01-21 00:02:31,30.0
2024-01-21 00:02:32,13.7
2024-01-21 00:02:33,19.4
2024-01-21 00:02:34,15.1
2024-01-21 00:02:35,12.0
2024-01-21 00:02:36,16.2
2024-01-21 00:02:37,12.6
2024-01-21 00:02:38,14.5
2024-01-21 00:02:39,15.5
2024-01-21 00:02:40,13.4
2024-01-21 00:02:41,22.3
2024-01-21 00:02:42,14.5
2024-01-21 00:02:43,14.4
2024-01-21 00:02:44,22.8
2024-01-21 00:02:45,15.6
2024-01-21 00:02:46,13.5
2024-01-21 00:02:47,15.7
2024-01-21 00:02:48,21.3
2024-01-21 00:02:49,20.6
2024-01-21 00:02:50,15.0
2024-01-21 00:02:51,17.3
2024-01-21 00:02:52,15.6
2024-01-21 00:02:53,16.7
2024-01-21 00:02:54,14.5
2024-01-21 00:02:55,18.2
2024-01-21 00:02:56,31.9
2024-01-21 00:02:57,16.7
2024-01-21 00:02:58,15.2
2024-01-21 00:02:59,13.3
2024-01-21 00:03:00,15.1
2024-01-21 00:03:01,12.1
2024-01-21 00:03:02,18.3
2024-01-21 00:03:03,13.9
2024-01-21 00:03:04,16.2
2024-01-21 00:03:05,14.8
2024-01-21 00:03:06,27.5
2024-01-21 00:03:07,12.8
2024-01-21 00:03:08,18.7
2024-01-21 00:03:09,13.3
2024-01-21 00:03:10,22.0
2024-01-21 00:03:11,21.1
2024-01-21 00:03:13,14.7
2024-01-21 00:03:14,11.7
2024-01-21 00:03:15,12.8
2024-01-21 00:03:16,14.1
2024-01-21 00:03:17,12.7
2024-01-21 00:03:18,11.9
2024-01-21 00:03:19,13.1
2024-01-21 00:03:20,14.1
2024-01-21 00:03:21,14.0
2024-01-21 00:03:22,22.2
2024-01-21 00:03:23,20.5
2024-01-21 00:03:24,14.4
2024-01-21 00:03:25,13.5
2024-01-21 00:03:26,13.0
2024-01-21 00:03:27,14.4
2024-01-21 00:03:28,13.0
2024-01-21 00:03:29,13.7
2024-01-21 00:03:30,13.4
2024-01-21 00:03:31,33.8
2024-01-21 00:03:32,12.2
2024-01-21 00:03:33,12.5
2024-01-21 00:03:34,13.9
2024-01-21 00:03:35,13.8
2024-01-21 00:03:36,12.8
2024-01-21 00:03:37,14.3
2024-01-21 00:03:38,17.3
2024-01-21 00:03:39,12.7
2024-01-21 00:03:40,13.9
2024-01-21 00:03:41,20.0
2024-01-21 00:03:42,14.3
2024-01-21 00:03:43,12.1
2024-01-21 00:03:44,28.6
2024-01-21 00:03:45,17.8
2024-01-21 00:03:46,13.3
2024-01-21 00:03:47,13.0
2024-01-21 00:03:48,11.8
2024-01-21 00:03:49,13.7
2024-01-21 00:03:50,12.2
2024-01-21 00:03:51,16.2
2024-01-21 00:03:52,13.2
2024-01-21 00:03:53,13.8
2024-01-21 00:03:54,12.9
2024-01-21 00:03:55,12.4
2024-01-21 00:03:56,16.6
2024-01-21 00:03:57,17.4
2024-01-21 00:03:58,12.5
